benchmark,myapp_result,z3,q3b,cvc5,bitw,parse+z3,parse+cvc5,parse+bitw,simplify+z3,simplify+cvc5,simplify+bitw,myapp+z3,myapp+cvc5,myapp+bitw
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_3_11.smt2, succ, sat, sat, timeout, timeout, sat, timeout, timeout, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_4_11.smt2, succ, sat, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_4_21.smt2, succ, sat, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_3_24.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_4_19.smt2, succ, sat, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_4_7.smt2, succ, unsat, timeout, unsat, unsat, unsat, unsat, unsat, unsat, unsat, unsat, unsat, unsat, unsat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RND/RND_3_13.smt2, succ, unsat, timeout, timeout, timeout, unsat, timeout, timeout, unsat, timeout, timeout, unsat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_34.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_53.smt2, myapp_timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_52.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_28.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
