bench,z3_60,q3b_60,cvc5_60,bitw_60,fbs_simplifyandbdd_20+z3_40,fbs_simplifyandbdd_20+cvc5_40,fbs_simplifyandbdd_20+bitw_40,fbs_bddonly_20+z3_40,fbs_bddonly_20+cvc5_40,fbs_bddonly_20+bitw_40,fbs_var4_20+z3_40,fbs_var4_20+cvc5_40,fbs_var4_20+bitw_40,fbs_wfonly_20+z3_40,fbs_wfonly_20+cvc5_40,fbs_wfonly_20+bitw_40
../bench/non-incremental/BV/20210301-Alive2/oggenc/283_oggenc.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
../bench/non-incremental/BV/20210301-Alive2/oggenc/363_oggenc.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
